Make,Model,Engine_Size_L_x,Cylinders_x,Transmission_x,CO2_Canada,Year,Engine_Size_L_y,Cylinders_y,Transmission_y,CO2_US
BMW,X1 XDRIVE28I,2.0,4,A8,209,2025,2.0,4,Auto(AM-S7),318
HONDA,ACCORD,2.4,4,AV,182,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,AV,182,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,2.4,4,AV7,186,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,AV7,186,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,2.4,4,M6,200,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,M6,200,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,A6,209,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,A6,209,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,AS6,221,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,AS6,221,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,M6,251,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,M6,251,2025,2.0,4,Auto(AV),184
HONDA,CR-V AWD,2.4,4,A5,216,2025,1.5,4,Auto(AV),312
HONDA,CR-V AWD,2.4,4,A5,216,2025,2.0,4,Auto(AV),237
HONDA,PILOT AWD,3.5,6,A5,276,2025,3.5,6,Auto(S10),415
HYUNDAI,SONATA HYBRID,2.4,4,AS6,143,2025,2.0,4,Auto(AM-S6),188
KIA,SOUL,1.6,4,A6,205,2025,2.0,4,Auto(AV),302
KIA,SOUL,1.6,4,M6,207,2025,2.0,4,Auto(AV),302
KIA,SOUL,2.0,4,A6,209,2025,2.0,4,Auto(AV),302
KIA,SOUL ECO DYNAMICS,2.0,4,A6,202,2025,2.0,4,Auto(AV),287
KIA,SPORTAGE AWD,2.0,4,A6,262,2025,2.5,4,Auto(S8),361
KIA,SPORTAGE AWD,2.4,4,A6,246,2025,2.5,4,Auto(S8),361
MAZDA,CX-5 4WD,2.0,4,AS6,196,2025,2.5,4,Auto(S6),370
MAZDA,CX-5 4WD,2.0,4,AS6,196,2025,2.5,4,Auto(S6),348
MAZDA,CX-5 4WD,2.0,4,AS6,196,2025,2.5,4,Auto(S6),321
MAZDA,CX-5 4WD,2.5,4,AS6,205,2025,2.5,4,Auto(S6),370
MAZDA,CX-5 4WD,2.5,4,AS6,205,2025,2.5,4,Auto(S6),348
MAZDA,CX-5 4WD,2.5,4,AS6,205,2025,2.5,4,Auto(S6),321
MAZDA,MX-5,2.0,4,AS6,235,2025,2.0,4,Auto(S6),301
MAZDA,MX-5,2.0,4,AS6,235,2025,2.0,4,Manual(M6),305
MAZDA,MX-5,2.0,4,M5,221,2025,2.0,4,Auto(S6),301
MAZDA,MX-5,2.0,4,M5,221,2025,2.0,4,Manual(M6),305
MAZDA,MX-5,2.0,4,M6,228,2025,2.0,4,Auto(S6),301
MAZDA,MX-5,2.0,4,M6,228,2025,2.0,4,Manual(M6),305
MERCEDES-BENZ,CLA 250,2.0,4,AS7,179,2025,2.0,4,Auto(AM8),298
MERCEDES-BENZ,E 350 4MATIC,3.5,6,AS7,230,2025,2.0,4,Auto(A9),327
MERCEDES-BENZ,G 550,5.5,8,AS7,419,2025,3.0,6,Auto(A9),490
NISSAN,ARMADA 4WD,5.6,8,A5,380,2025,3.5,6,Auto(S9),524
NISSAN,FRONTIER 4WD,4.0,6,A5,315,2025,3.8,6,Auto(S9),470
NISSAN,FRONTIER 4WD,4.0,6,M6,301,2025,3.8,6,Auto(S9),470
NISSAN,MURANO AWD,3.5,6,AV,271,2025,2.0,4,Auto(S9),387
NISSAN,PATHFINDER 4WD,3.5,6,AV,253,2025,3.5,6,Auto(S9),379
NISSAN,ROGUE AWD,2.5,4,AV,198,2025,1.5,3,Auto(AV-S8),287
NISSAN,SENTRA,1.8,4,AV,161,2025,2.0,4,Auto(AV),262
NISSAN,SENTRA,1.8,4,M6,179,2025,2.0,4,Auto(AV),262
NISSAN,VERSA,1.6,4,AV,152,2025,1.6,4,Auto(AV),253
NISSAN,VERSA,1.6,4,AV,152,2025,1.6,4,Manual(M5),296
NISSAN,VERSA,1.6,4,M5,177,2025,1.6,4,Auto(AV),253
NISSAN,VERSA,1.6,4,M5,177,2025,1.6,4,Manual(M5),296
PORSCHE,911 CARRERA,3.4,6,AM7,232,2025,3.0,6,Auto(AM-S8),424
PORSCHE,911 CARRERA,3.4,6,M7,246,2025,3.0,6,Auto(AM-S8),424
PORSCHE,911 CARRERA CABRIOLET,3.4,6,AM7,232,2025,3.0,6,Auto(AM-S8),429
PORSCHE,911 CARRERA CABRIOLET,3.4,6,M7,246,2025,3.0,6,Auto(AM-S8),429
PORSCHE,911 TURBO,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),534
PORSCHE,911 TURBO CABRIOLET,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),546
PORSCHE,911 TURBO S,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),556
PORSCHE,911 TURBO S CABRIOLET,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),549
PORSCHE,CAYENNE,3.6,6,A8,290,2025,3.0,6,Auto(S8),469
PORSCHE,CAYENNE,3.6,6,M6,313,2025,3.0,6,Auto(S8),469
PORSCHE,CAYENNE S,4.8,8,A8,310,2025,4.0,8,Auto(S8),492
PORSCHE,PANAMERA,3.6,6,AM7,251,2025,2.9,6,Auto(AM-S8),431
PORSCHE,PANAMERA 4,3.6,6,AM7,255,2025,2.9,6,Auto(AM-S8),425
PORSCHE,PANAMERA GTS,4.8,8,AM7,292,2025,4.0,8,Auto(AM-S8),495
ROLLS-ROYCE,GHOST,6.6,12,A8,368,2025,6.7,12,Auto(S8),609
ROLLS-ROYCE,PHANTOM,6.7,12,A8,393,2025,6.7,12,Auto(S8),609
SUBARU,BRZ,2.0,4,AS6,196,2025,2.4,4,Auto(S6),362
SUBARU,BRZ,2.0,4,AS6,196,2025,2.4,4,Manual(M6),398
SUBARU,BRZ,2.0,4,M6,221,2025,2.4,4,Auto(S6),362
SUBARU,BRZ,2.0,4,M6,221,2025,2.4,4,Manual(M6),398
SUBARU,FORESTER AWD,2.0,4,AV,218,2025,2.5,4,Auto(AV-S8),310
SUBARU,FORESTER AWD,2.5,4,AV,198,2025,2.5,4,Auto(AV-S8),310
SUBARU,FORESTER AWD,2.5,4,M6,223,2025,2.5,4,Auto(AV-S8),310
SUBARU,OUTBACK AWD,2.5,4,AV,207,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,2.5,4,AV,207,2025,2.5,4,Auto(AV-S8),314
SUBARU,OUTBACK AWD,2.5,4,M6,225,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,2.5,4,M6,225,2025,2.5,4,Auto(AV-S8),314
SUBARU,OUTBACK AWD,3.6,6,AS5,269,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,3.6,6,AS5,269,2025,2.5,4,Auto(AV-S8),314
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),417
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),415
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),380
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),380
TOYOTA,COROLLA,1.8,4,A4,177,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,A4,177,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,A4,177,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,AV7,168,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,AV7,168,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,AV7,168,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,AV,163,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,AV,163,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,AV,163,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV-S10),265
TOYOTA,HIGHLANDER,2.7,4,AS6,237,2025,2.4,4,Auto(S8),370
TOYOTA,HIGHLANDER,2.7,4,AS6,237,2025,2.4,4,Auto(S8),359
TOYOTA,HIGHLANDER,3.5,6,AS6,258,2025,2.4,4,Auto(S8),370
TOYOTA,HIGHLANDER,3.5,6,AS6,258,2025,2.4,4,Auto(S8),359
TOYOTA,HIGHLANDER AWD,3.5,6,AS6,264,2025,2.4,4,Auto(S8),371
TOYOTA,HIGHLANDER HYBRID AWD,3.5,6,AV6,191,2025,2.5,4,Auto(AV-S6),254
TOYOTA,PRIUS,1.8,4,AV,110,2025,2.0,4,Auto(AV),155
TOYOTA,RAV4,2.5,4,AS6,205,2025,2.5,4,Auto(S8),292
TOYOTA,RAV4 AWD,2.5,4,AS6,216,2025,2.5,4,Auto(S8),320
TOYOTA,RAV4 AWD,2.5,4,AS6,216,2025,2.5,4,Auto(S8),301
TOYOTA,SEQUOIA 4WD,5.7,8,AS6,384,2025,3.4,6,Auto(S10),439
TOYOTA,SIENNA,3.5,6,AS6,260,2025,2.5,4,Auto(AV-S6),246
TOYOTA,SIENNA AWD,3.5,6,AS6,285,2025,2.5,4,Auto(AV-S6),253
TOYOTA,TACOMA 4WD,2.7,4,A4,274,2025,2.4,4,Auto(S8),424
TOYOTA,TACOMA 4WD,2.7,4,M5,271,2025,2.4,4,Auto(S8),424
TOYOTA,TACOMA 4WD,4.0,6,A5,306,2025,2.4,4,Auto(S8),424
TOYOTA,TACOMA 4WD,4.0,6,M6,322,2025,2.4,4,Auto(S8),424
TOYOTA,TUNDRA 4WD,4.6,8,AS6,347,2025,3.4,6,Auto(S10),468
TOYOTA,TUNDRA 4WD,4.6,8,AS6,347,2025,3.4,6,Auto(S10),460
TOYOTA,TUNDRA 4WD,4.6,8,AS6,347,2025,3.4,6,Auto(S10),439
TOYOTA,TUNDRA 4WD,5.7,8,AS6,373,2025,3.4,6,Auto(S10),468
TOYOTA,TUNDRA 4WD,5.7,8,AS6,373,2025,3.4,6,Auto(S10),460
TOYOTA,TUNDRA 4WD,5.7,8,AS6,373,2025,3.4,6,Auto(S10),439
BMW,M3 SEDAN,3.0,6,AM7,278,2025,3.0,6,Manual(M6),472
BMW,M3 SEDAN,3.0,6,M6,267,2025,3.0,6,Manual(M6),472
BMW,M4 COUPE,3.0,6,AM7,278,2025,3.0,6,Manual(M6),472
BMW,M4 COUPE,3.0,6,M6,267,2025,3.0,6,Manual(M6),472
BMW,X1 XDRIVE28I,2.0,4,AS8,209,2025,2.0,4,Auto(AM-S7),318
HONDA,ACCORD,2.4,4,AV,179,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,AV,179,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,2.4,4,AV7,184,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,AV7,184,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,2.4,4,M6,200,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,M6,200,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,A6,209,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,A6,209,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,AS6,219,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,AS6,219,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,M6,251,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,M6,251,2025,2.0,4,Auto(AV),184
HONDA,CR-V AWD,2.4,4,AV,191,2025,1.5,4,Auto(AV),312
HONDA,CR-V AWD,2.4,4,AV,191,2025,2.0,4,Auto(AV),237
HYUNDAI,ELANTRA,1.8,4,AS6,172,2025,2.0,4,Auto(AV-S1),263
HYUNDAI,ELANTRA,1.8,4,AS6,172,2025,2.0,4,Auto(AV-S1),246
HYUNDAI,ELANTRA,1.8,4,M6,177,2025,2.0,4,Auto(AV-S1),263
HYUNDAI,ELANTRA,1.8,4,M6,177,2025,2.0,4,Auto(AV-S1),246
HYUNDAI,ELANTRA,2.0,4,AS6,191,2025,2.0,4,Auto(AV-S1),263
HYUNDAI,ELANTRA,2.0,4,AS6,191,2025,2.0,4,Auto(AV-S1),246
HYUNDAI,ELANTRA,2.0,4,M6,196,2025,2.0,4,Auto(AV-S1),263
HYUNDAI,ELANTRA,2.0,4,M6,196,2025,2.0,4,Auto(AV-S1),246
HYUNDAI,SANTA FE AWD,3.3,6,AS6,264,2025,2.5,4,Auto(AM-S8),390
HYUNDAI,SONATA HYBRID,2.4,4,AS6,145,2025,2.0,4,Auto(AM-S6),188
HYUNDAI,TUCSON AWD,2.0,4,AS6,239,2025,2.5,4,Auto(S8),339
HYUNDAI,TUCSON AWD,2.4,4,AS6,244,2025,2.5,4,Auto(S8),339
KIA,SORENTO AWD,2.4,4,AS6,251,2025,2.5,4,Auto(AM-S8),389
KIA,SORENTO AWD,2.4,4,AS6,251,2025,2.5,4,Auto(S8),357
KIA,SORENTO AWD,3.3,6,AS6,271,2025,2.5,4,Auto(AM-S8),389
KIA,SORENTO AWD,3.3,6,AS6,271,2025,2.5,4,Auto(S8),357
KIA,SOUL,1.6,4,AS6,205,2025,2.0,4,Auto(AV),302
KIA,SOUL,1.6,4,M6,207,2025,2.0,4,Auto(AV),302
KIA,SOUL,2.0,4,AS6,207,2025,2.0,4,Auto(AV),302
KIA,SOUL ECO DYNAMICS,2.0,4,AS6,202,2025,2.0,4,Auto(AV),287
KIA,SPORTAGE AWD,2.0,4,AS6,260,2025,2.5,4,Auto(S8),361
KIA,SPORTAGE AWD,2.4,4,AS6,246,2025,2.5,4,Auto(S8),361
MAZDA,CX-5 4WD,2.0,4,AS6,196,2025,2.5,4,Auto(S6),370
MAZDA,CX-5 4WD,2.0,4,AS6,196,2025,2.5,4,Auto(S6),348
MAZDA,CX-5 4WD,2.0,4,AS6,196,2025,2.5,4,Auto(S6),321
MAZDA,CX-5 4WD,2.5,4,AS6,207,2025,2.5,4,Auto(S6),370
MAZDA,CX-5 4WD,2.5,4,AS6,207,2025,2.5,4,Auto(S6),348
MAZDA,CX-5 4WD,2.5,4,AS6,207,2025,2.5,4,Auto(S6),321
MAZDA,MX-5,2.0,4,AS6,232,2025,2.0,4,Auto(S6),301
MAZDA,MX-5,2.0,4,AS6,232,2025,2.0,4,Manual(M6),305
MAZDA,MX-5,2.0,4,M5,221,2025,2.0,4,Auto(S6),301
MAZDA,MX-5,2.0,4,M5,221,2025,2.0,4,Manual(M6),305
MAZDA,MX-5,2.0,4,M6,228,2025,2.0,4,Auto(S6),301
MAZDA,MX-5,2.0,4,M6,228,2025,2.0,4,Manual(M6),305
MERCEDES-BENZ,C 300 4MATIC,2.0,4,AS7,207,2025,2.0,4,Auto(A9),329
MERCEDES-BENZ,CLA 250,2.0,4,AS7,186,2025,2.0,4,Auto(AM8),298
MERCEDES-BENZ,CLA 250 4MATIC,2.0,4,AS7,202,2025,2.0,4,Auto(AM8),311
MERCEDES-BENZ,G 550,5.5,8,AS7,419,2025,3.0,6,Auto(A9),490
MERCEDES-BENZ,GLA 250 4MATIC,2.0,4,AS7,200,2025,2.0,4,Auto(AM8),315
NISSAN,ARMADA 4WD,5.6,8,A5,382,2025,3.5,6,Auto(S9),524
NISSAN,FRONTIER 4WD,4.0,6,A5,315,2025,3.8,6,Auto(S9),470
NISSAN,FRONTIER 4WD,4.0,6,M6,306,2025,3.8,6,Auto(S9),470
NISSAN,MURANO AWD,3.5,6,AV7,228,2025,2.0,4,Auto(S9),387
NISSAN,PATHFINDER 4WD,3.5,6,AV,246,2025,3.5,6,Auto(S9),379
NISSAN,PATHFINDER 4WD PLATINUM,3.5,6,AV,253,2025,3.5,6,Auto(S9),400
NISSAN,ROGUE AWD,2.5,4,AV,196,2025,1.5,3,Auto(AV-S8),287
NISSAN,SENTRA,1.8,4,AV,166,2025,2.0,4,Auto(AV),262
NISSAN,SENTRA,1.8,4,M6,182,2025,2.0,4,Auto(AV),262
NISSAN,VERSA,1.6,4,AV,156,2025,1.6,4,Auto(AV),253
NISSAN,VERSA,1.6,4,AV,156,2025,1.6,4,Manual(M5),296
NISSAN,VERSA,1.6,4,M5,177,2025,1.6,4,Auto(AV),253
NISSAN,VERSA,1.6,4,M5,177,2025,1.6,4,Manual(M5),296
PORSCHE,911 CARRERA,3.4,6,AM7,232,2025,3.0,6,Auto(AM-S8),424
PORSCHE,911 CARRERA,3.4,6,M7,244,2025,3.0,6,Auto(AM-S8),424
PORSCHE,911 CARRERA CABRIOLET,3.4,6,AM7,232,2025,3.0,6,Auto(AM-S8),429
PORSCHE,911 CARRERA CABRIOLET,3.4,6,M7,246,2025,3.0,6,Auto(AM-S8),429
PORSCHE,911 CARRERA 4 GTS,3.8,6,AM7,255,2025,3.6,6,Auto(AM-S8),461
PORSCHE,911 CARRERA 4 GTS,3.8,6,M7,260,2025,3.6,6,Auto(AM-S8),461
PORSCHE,911 CARRERA 4 GTS CABRIOLET,3.8,6,AM7,262,2025,3.6,6,Auto(AM-S8),468
PORSCHE,911 CARRERA 4 GTS CABRIOLET,3.8,6,M7,267,2025,3.6,6,Auto(AM-S8),468
PORSCHE,911 CARRERA GTS CABRIOLET,3.8,6,AM7,255,2025,3.6,6,Auto(AM-S8),459
PORSCHE,911 CARRERA GTS CABRIOLET,3.8,6,AM7,255,2025,3.6,6,Auto(AM-S8),459
PORSCHE,911 CARRERA GTS CABRIOLET,3.8,6,M7,267,2025,3.6,6,Auto(AM-S8),459
PORSCHE,911 CARRERA GTS CABRIOLET,3.8,6,M7,267,2025,3.6,6,Auto(AM-S8),459
PORSCHE,911 TURBO,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),534
PORSCHE,911 TURBO CABRIOLET,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),546
PORSCHE,911 TURBO S,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),556
PORSCHE,911 TURBO S CABRIOLET,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),549
PORSCHE,CAYENNE S,3.6,6,A8,286,2025,4.0,8,Auto(S8),492
PORSCHE,MACAN S,3.0,6,A7,281,2025,2.9,6,Auto(AM-S7),466
PORSCHE,PANAMERA,3.6,6,AM7,251,2025,2.9,6,Auto(AM-S8),431
PORSCHE,PANAMERA 4,3.6,6,AM7,255,2025,2.9,6,Auto(AM-S8),425
PORSCHE,PANAMERA GTS,4.8,8,AM7,292,2025,4.0,8,Auto(AM-S8),495
ROLLS-ROYCE,GHOST,6.6,12,AS8,370,2025,6.7,12,Auto(S8),609
ROLLS-ROYCE,PHANTOM,6.7,12,AS8,396,2025,6.7,12,Auto(S8),609
SUBARU,BRZ,2.0,4,AS6,193,2025,2.4,4,Auto(S6),362
SUBARU,BRZ,2.0,4,AS6,193,2025,2.4,4,Manual(M6),398
SUBARU,BRZ,2.0,4,M6,221,2025,2.4,4,Auto(S6),362
SUBARU,BRZ,2.0,4,M6,221,2025,2.4,4,Manual(M6),398
SUBARU,FORESTER AWD,2.0,4,AV8,216,2025,2.5,4,Auto(AV-S8),310
SUBARU,FORESTER AWD,2.5,4,AV6,200,2025,2.5,4,Auto(AV-S8),310
SUBARU,FORESTER AWD,2.5,4,M6,221,2025,2.5,4,Auto(AV-S8),310
SUBARU,OUTBACK AWD,2.5,4,AV6,191,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,2.5,4,AV6,191,2025,2.5,4,Auto(AV-S8),314
SUBARU,OUTBACK AWD,2.5,4,M6,223,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,2.5,4,M6,223,2025,2.5,4,Auto(AV-S8),314
SUBARU,OUTBACK AWD,3.6,6,AV6,242,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,3.6,6,AV6,242,2025,2.5,4,Auto(AV-S8),314
SUBARU,WRX,2.0,4,AV8,255,2025,2.4,4,Auto(AV-S8),422
SUBARU,WRX,2.0,4,AV8,255,2025,2.4,4,Manual(M6),413
SUBARU,WRX,2.0,4,M6,225,2025,2.4,4,Auto(AV-S8),422
SUBARU,WRX,2.0,4,M6,225,2025,2.4,4,Manual(M6),413
SUBARU,WRX,2.5,4,M6,281,2025,2.4,4,Auto(AV-S8),422
SUBARU,WRX,2.5,4,M6,281,2025,2.4,4,Manual(M6),413
TOYOTA,4RUNNER 4WD,4.0,6,AS5,294,2025,2.4,4,Auto(S8),417
TOYOTA,4RUNNER 4WD,4.0,6,AS5,294,2025,2.4,4,Auto(S8),415
TOYOTA,4RUNNER 4WD,4.0,6,AS5,294,2025,2.4,4,Auto(S8),380
TOYOTA,4RUNNER 4WD,4.0,6,AS5,294,2025,2.4,4,Auto(S8),380
TOYOTA,COROLLA,1.8,4,A4,175,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,A4,175,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,A4,175,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,AV7,163,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,AV7,163,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,AV7,163,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,AV,168,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,AV,168,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,AV,168,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV-S10),265
TOYOTA,HIGHLANDER,2.7,4,AS6,246,2025,2.4,4,Auto(S8),370
TOYOTA,HIGHLANDER,2.7,4,AS6,246,2025,2.4,4,Auto(S8),359
TOYOTA,HIGHLANDER,3.5,6,AS6,255,2025,2.4,4,Auto(S8),370
TOYOTA,HIGHLANDER,3.5,6,AS6,255,2025,2.4,4,Auto(S8),359
TOYOTA,HIGHLANDER AWD,3.5,6,AS6,267,2025,2.4,4,Auto(S8),371
TOYOTA,HIGHLANDER HYBRID AWD,3.5,6,AV6,196,2025,2.5,4,Auto(AV-S6),254
TOYOTA,PRIUS,1.8,4,AV,108,2025,2.0,4,Auto(AV),155
TOYOTA,RAV4,2.5,4,AS6,205,2025,2.5,4,Auto(S8),292
TOYOTA,RAV4 AWD,2.5,4,AS6,218,2025,2.5,4,Auto(S8),320
TOYOTA,RAV4 AWD,2.5,4,AS6,218,2025,2.5,4,Auto(S8),301
TOYOTA,SEQUOIA 4WD,5.7,8,AS6,382,2025,3.4,6,Auto(S10),439
TOYOTA,SIENNA,3.5,6,AS6,262,2025,2.5,4,Auto(AV-S6),246
TOYOTA,SIENNA AWD,3.5,6,AS6,288,2025,2.5,4,Auto(AV-S6),253
TOYOTA,TACOMA 4WD,2.7,4,A4,283,2025,2.4,4,Auto(S8),424
TOYOTA,TACOMA 4WD,2.7,4,M5,283,2025,2.4,4,Auto(S8),424
TOYOTA,TACOMA 4WD,4.0,6,A5,308,2025,2.4,4,Auto(S8),424
TOYOTA,TACOMA 4WD,4.0,6,M6,322,2025,2.4,4,Auto(S8),424
TOYOTA,TUNDRA 4WD,4.6,8,AS6,347,2025,3.4,6,Auto(S10),468
TOYOTA,TUNDRA 4WD,4.6,8,AS6,347,2025,3.4,6,Auto(S10),460
TOYOTA,TUNDRA 4WD,4.6,8,AS6,347,2025,3.4,6,Auto(S10),439
